  Forza (kN)  Elongazione (mm)
   21.233         0.068
   42.333         0.136
   60.212         0.204
   61.714         0.272
   62.106         0.340
   62.491         0.408
   62.937         0.476
   63.349         0.544
   63.626         0.612
   63.901         0.680
   64.163         0.748
   64.420         0.816
   64.669         0.884
   64.892         0.952
   65.112         1.020
   65.309         1.088
   65.448         1.156
   65.585         1.224
   65.719         1.292
   65.781         1.360
   65.820         1.428
   65.857         1.496
   65.894         1.564
   65.930         1.632
   65.965         1.700
   65.999         1.768
   66.015         1.836
   65.964         1.904
   65.894         1.972
   65.817         2.040
   65.733         2.108
   65.642         2.176
   65.546         2.244
   65.439         2.312
   65.327         2.380
   65.204         2.448
   65.069         2.516
   64.922         2.584
   64.760         2.652
   64.582         2.720
   64.382         2.788
   64.157         2.856
   63.902         2.924
   63.616         2.992
   63.293         3.060
   62.932         3.128
   62.534         3.196
   62.103         3.264
   61.644         3.332
   61.150         3.400
